epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,504.281,0.88735,0.41325,0.31467,0.90067,0.72219,0.7888,0.48029,0.53884,0.36872,0.03568,0.000555257,0.000555257,0.000555257
2,988.91,0.59426,0.3867,0.03624,0.89204,0.72605,0.79464,0.48882,0.52116,0.37331,0.03044,0.00107426,0.00107426,0.00107426
3,1469,0.58017,0.39309,0.03452,0.90294,0.75413,0.81262,0.51619,0.48456,0.36285,0.02894,0.0015566,0.0015566,0.0015566
4,1977.09,0.57018,0.40153,0.03498,0.90151,0.75309,0.81458,0.51631,0.48466,0.36795,0.02793,0.00150197,0.00150197,0.00150197
5,2541.78,0.53457,0.38757,0.03093,0.9076,0.76478,0.8299,0.53062,0.48119,0.36867,0.02834,0.00144696,0.00144696,0.00144696
6,3020.25,0.54166,0.39011,0.03036,0.90525,0.76152,0.81956,0.51512,0.48225,0.367,0.02747,0.00139195,0.00139195,0.00139195
7,3499.88,0.51148,0.38494,0.0284,0.90988,0.77398,0.83283,0.53919,0.45582,0.35901,0.02718,0.00133693,0.00133693,0.00133693
8,3979.21,0.5248,0.38825,0.02964,0.91204,0.77505,0.83581,0.51607,0.48445,0.36864,0.02824,0.00128192,0.00128192,0.00128192
9,4459.6,0.51298,0.38583,0.02791,0.91012,0.79176,0.84835,0.54703,0.44866,0.36038,0.0254,0.00122691,0.00122691,0.00122691
10,4941.02,0.48938,0.38613,0.02601,0.90916,0.78959,0.84794,0.53811,0.45775,0.3667,0.02646,0.0011719,0.0011719,0.0011719
11,5420.99,0.48382,0.38456,0.02561,0.91613,0.78794,0.84741,0.54956,0.44367,0.36356,0.02643,0.00111689,0.00111689,0.00111689
12,5902.47,0.49374,0.38767,0.02726,0.91103,0.79426,0.85436,0.55905,0.43364,0.36029,0.02537,0.00106188,0.00106188,0.00106188
13,6378.74,0.47412,0.38391,0.02558,0.89971,0.79869,0.85014,0.55809,0.43444,0.35776,0.02481,0.00100687,0.00100687,0.00100687
14,6858.17,0.4693,0.38201,0.02488,0.91836,0.8045,0.85943,0.56089,0.42733,0.35366,0.02386,0.000951857,0.000951857,0.000951857
15,7339.26,0.47106,0.38047,0.02558,0.90921,0.7925,0.85091,0.55546,0.4351,0.36133,0.02515,0.000896846,0.000896846,0.000896846
16,7817.92,0.46619,0.37716,0.02473,0.91387,0.81059,0.86347,0.56864,0.42275,0.35245,0.02402,0.000841835,0.000841835,0.000841835
17,8299.2,0.46108,0.37908,0.02414,0.91447,0.81329,0.86701,0.57298,0.41536,0.3541,0.02358,0.000786824,0.000786824,0.000786824
18,8779.57,0.44976,0.37712,0.0238,0.91675,0.81087,0.87121,0.56562,0.42719,0.35792,0.02403,0.000731813,0.000731813,0.000731813
19,9260.74,0.44708,0.37907,0.0234,0.91462,0.81521,0.86998,0.5691,0.41873,0.35826,0.02436,0.000676802,0.000676802,0.000676802
20,9739.93,0.44115,0.37661,0.0227,0.91767,0.81669,0.87125,0.58229,0.40991,0.35338,0.02301,0.000621791,0.000621791,0.000621791
21,10238.8,0.41359,0.37167,0.02362,0.91521,0.81347,0.86623,0.56607,0.41936,0.35975,0.02462,0.00056678,0.00056678,0.00056678
22,10716.6,0.41937,0.37404,0.02372,0.92047,0.82037,0.87353,0.57818,0.41143,0.35082,0.02331,0.000511769,0.000511769,0.000511769
23,11194.2,0.40457,0.36773,0.02232,0.91901,0.82244,0.87364,0.58336,0.40697,0.34986,0.02293,0.000456758,0.000456758,0.000456758
24,11672.1,0.39673,0.36504,0.0218,0.92225,0.82225,0.87709,0.58292,0.40524,0.35016,0.02264,0.000401747,0.000401747,0.000401747
25,12149.4,0.39349,0.36396,0.02168,0.92213,0.82614,0.88069,0.58845,0.39905,0.34709,0.02276,0.000346736,0.000346736,0.000346736
26,12627.3,0.4019,0.36706,0.02249,0.92207,0.82712,0.88099,0.58488,0.40003,0.35058,0.02256,0.000291725,0.000291725,0.000291725
27,13107,0.39136,0.36342,0.02143,0.92039,0.83272,0.88235,0.59001,0.39651,0.34834,0.02243,0.000236714,0.000236714,0.000236714
28,13583.7,0.38153,0.3602,0.0206,0.92196,0.83439,0.88436,0.59,0.39337,0.34942,0.02212,0.000181703,0.000181703,0.000181703
29,14061.1,0.38415,0.35736,0.02091,0.92517,0.83665,0.88574,0.59289,0.39291,0.34622,0.02203,0.000126692,0.000126692,0.000126692
30,14538,0.37168,0.35466,0.01987,0.92744,0.83667,0.88699,0.59645,0.39,0.34569,0.02188,7.1681e-05,7.1681e-05,7.1681e-05
